,TICKER,STOCK_TYPE,COMPANY_NAME
0,003H11,FII,KINEA CO-INVESTIMENTO FDO INV IMOB
1,0FEA11,FII,SPIM FUNDO DE INVESTIMENTO IMOBILIÁRIO
2,2WAV3,AÇÃO,2W ECOBANK S.A.
61,A6OP3,AÇÃO,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.
64,AALR12,AÇÃO,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.
65,AALR13,AÇÃO,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.
66,AALR3,AÇÃO,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.
67,AALR3F,AÇÃO,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.
70,AATH11,FII,ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA
73,AAZQ11,FII,AZ QUEST SOLE FDO DE INV - FIAGRO - IMOBILIARIO
78,ABCB3,AÇÃO,BCO ABC BRASIL S.A.
79,ABCB4,AÇÃO,BCO ABC BRASIL S.A.           
80,ABCB4F,AÇÃO,BCO ABC BRASIL S.A.
82,ABCP11,FII,FDO INV IMOB GRAND PLAZA SHOPPING
83,ABEV3,AÇÃO,AMBEV S.A.                    
84,ABEV3F,AÇÃO,AMBEV S.A.
97,AERI3,AÇÃO,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A
98,AERI3F,AÇÃO,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A
100,AESB3,AÇÃO,AES BRASIL ENERGIA S.A.       
101,AESB3F,AÇÃO,AES BRASIL ENERGIA S.A.
103,AESO3,AÇÃO,AES BRASIL OPERAÇÕES S.A.     
104,AESO3F,AÇÃO,AES BRASIL OPERAÇÕES S.A.
108,AFCF11,FII,AFRICA FILMES S/C LTDA.
109,AFCV12,FII,A F CINEMA E VIDEO LTDA
110,AFHI11,FII,AF INVEST CRI FDO. INV. IMOB - RECEBÍVEIS IMOB.
111,AFLT3,AÇÃO,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
112,AFLT3F,AÇÃO,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
121,AGBK4,AÇÃO,BANCO AGIBANK S.A.
124,AGRA4,AÇÃO,AGRALE S/A
127,AGRO3,AÇÃO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
128,AGRO3F,AÇÃO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
130,AGRX11,FII,FDO INV CAD PRO AGRO EXES ARAGUAIA - FIAGRO IMOB
133,AGXY3,AÇÃO,AGROGALAXY PARTICIPAÇÕES S.A. 
134,AGXY3F,AÇÃO,AGROGALAXY PARTICIPAÇÕES S.A.
136,AHEB3,AÇÃO,SAO PAULO TURISMO S.A.        
137,AHEB3F,AÇÃO,SAO PAULO TURISMO S.A.
139,AHEB5,AÇÃO,SAO PAULO TURISMO S.A.        
140,AHEB5F,AÇÃO,SAO PAULO TURISMO S.A.
142,AHEB6,AÇÃO,SAO PAULO TURISMO S.A.        
143,AHEB6F,AÇÃO,SAO PAULO TURISMO S.A.
145,AIEC11,FII,AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.
148,AJFI11,FII,AJ MALLS FDO DE INV IMOB      
151,ALLD3,AÇÃO,ALLIED TECNOLOGIA S.A.        
152,ALLD3F,AÇÃO,ALLIED TECNOLOGIA S.A.
154,ALMI11,FII,FDO INV IMOB - FII TORRE ALMIRANTE
155,ALOS3,AÇÃO,ALLOS S.A                     
156,ALOS3F,AÇÃO,ALLOS S.A
161,ALPA3,AÇÃO,ALPARGATAS S.A.               
162,ALPA3F,AÇÃO,ALPARGATAS S.A.
164,ALPA4,AÇÃO,ALPARGATAS S.A.               
165,ALPA4F,AÇÃO,ALPARGATAS S.A.
167,ALPK3,AÇÃO,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
168,ALPK3F,AÇÃO,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
175,ALUP3,AÇÃO,ALUPAR INVESTIMENTO S/A       
176,ALUP3F,AÇÃO,ALUPAR INVESTIMENTO S/A
178,ALUP4,AÇÃO,ALUPAR INVESTIMENTO S/A       
179,ALUP4F,AÇÃO,ALUPAR INVESTIMENTO S/A
181,ALZM11,FII,ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB
182,ALZR11,FII,ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB
183,AMAR3,AÇÃO,MARISA LOJAS S.A.             
184,AMAR3F,AÇÃO,MARISA LOJAS S.A.
186,AMAZ11,FII,BLOXS AMAZON GREEN LEG FDO INV NAS CAD PROD AGRO
187,AMBP3,AÇÃO,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
188,AMBP3F,AÇÃO,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
190,AMER3,AÇÃO,AMERICANAS S.A                
191,AMER3F,AÇÃO,AMERICANAS S.A
196,AMZG3,AÇÃO,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
199,ANCR11B,FII,FDO INV IMOB - FII ANCAR IC   
200,ANGC11,FII,FDO INV IMOB RENDA CORPORATIVA ANGICO - FII
202,ANIM3,AÇÃO,ANIMA HOLDING S.A.            
203,ANIM3F,AÇÃO,ANIMA HOLDING S.A.
205,APER3,AÇÃO,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
206,APER3F,AÇÃO,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
208,APTI3,AÇÃO,SIDERURGICA J. L. ALIPERTI S.A.
209,APTI3F,AÇÃO,SIDERURGICA J. L. ALIPERTI S.A.
211,APTI4,AÇÃO,SIDERURGICA J. L. ALIPERTI S.A.
212,APTI4F,AÇÃO,SIDERURGICA J. L. ALIPERTI S.A.
214,APTO11,FII,NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO
217,APXM11,FII,FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS - FII
218,APXR11,FII,APEX REALTY FDO DE INV IMOB  RESP LTDA
219,APXU11,FII,APEX URB FDO DE INV IMOB  RESP LTDA
227,ARML3,AÇÃO,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A."
228,ARML3F,AÇÃO,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A."
233,AROA11,FII,AROEIRA 333 RENDA LOGÍSTICA FDO DE INV IMOB
234,ARRI11,FII,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS
240,ARXD11,FII,ARX DOVER RECEBÍVEIS FDO DE INV IMOB
241,ARZZ3,AÇÃO,AREZZO INDÚSTRIA E COMÉRCIO S.A.
242,ARZZ3F,AÇÃO,AREZZO INDÚSTRIA E COMÉRCIO S.A.
244,ASAI3,AÇÃO,SENDAS DISTRIBUIDORA S.A.     
245,ASAI3F,AÇÃO,SENDAS DISTRIBUIDORA S.A.
