Ticker;Company Name;Current Value;VPA;LPA;Dividend Yield
PETR3;PETROBRAS;36,76;28,42;11,99;25,20
OIBR3;OI;0,67;-36,34;-34,59;-
ITSA4;ITAUSA;9,32;7,92;1,37;7,96
TAEE4;TAESA;11,93;6,47;1,13;9,46
CSNA3;CSN;12,70;13,94;-0,45;22,99
GGBR3;GERDAU;20,74;27,87;4,63;15,78
MRFG3;MARFRIG;7,51;4,22;-1,69;12,16
KEPL3;KEPLER WEBER;10,64;3,79;1,47;10,80
KLBN4;KLABIN;4,58;1,99;0,51;5,37
TAEE11;TAESA;35,72;19,42;3,39;9,45
ITSA3;ITAUSA;9,41;7,92;1,37;7,86
BBSE3;BB SEGURIDADE;31,90;5,33;3,83;10,93
RAIL3;RUMO;22,65;8,32;0,43;0,29
CMIN3;CSN MINERAÇÃO S.A.;5,90;1,91;0,44;15,48
CIEL3;CIELO;3,79;4,41;0,71;7,69
CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.;40,48;24,23;3,60;23,79
MELK3;MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.;4,06;5,79;0,39;13,15
MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;4,02;9,72;0,92;21,75
BRAP4;BRADESPAR;24,10;19,30;7,01;12,15
AURE3;AUREN ENERGIA S.A.;13,65;13,96;2,03;11,01
CEBR3;CEB;15,20;13,92;2,61;12,89
GOAU4;METALURGICA GERDAU;11,00;16,85;2,66;10,49
ENAT3;ENAUTA PARTICIPAÇÕES;16,31;15,32;1,36;0,93
GRND3;GRENDENE;6,64;3,74;0,62;19,99
CBAV3;Companhia Brasileira de Alumínio;4,22;8,69;-1,49;10,54
BGIP4;BANCO BANESE;22,42;35,35;3,65;11,01
LEVE3;MAHLE-METAL LEVE;31,35;10,52;5,21;31,79
PARD3;INSTITUTO HERMES PARDINI;20,25;3,82;0,55;0,64
JHSF3;JHSF;4,65;7,41;0,68;10,14
TAEE3;TAESA;11,83;6,47;1,13;9,49
